Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,
2025-12-26 14:00:00+00:00,87382.0,88975.640625,87360.75,88873.515625,2166237184
2025-12-26 15:00:00+00:00,86991.421875,87368.0703125,86645.6328125,87368.0703125,4316983296
2025-12-26 16:00:00+00:00,86831.4453125,87286.53125,86831.4453125,87063.71875,913866752
2025-12-26 17:00:00+00:00,87238.2734375,87359.15625,86785.90625,86785.90625,755982336
2025-12-26 18:00:00+00:00,87189.5859375,87282.5390625,87064.8125,87235.6484375,519565312
2025-12-26 19:00:00+00:00,87414.7265625,87481.71875,87171.859375,87196.3671875,670957568
2025-12-26 20:00:00+00:00,87553.0390625,87698.7109375,87349.5234375,87447.5078125,187916288
2025-12-26 21:00:00+00:00,87422.9765625,87623.390625,87422.9765625,87524.1484375,301699072
2025-12-26 22:00:00+00:00,87418.5,87505.3828125,87284.5703125,87407.5546875,0
2025-12-26 23:00:00+00:00,87303.9375,87468.765625,87278.109375,87468.765625,0
2025-12-27 00:00:00+00:00,87338.203125,87340.015625,87196.078125,87316.0078125,0
2025-12-27 01:00:00+00:00,87404.7734375,87409.8984375,87292.984375,87335.859375,0
2025-12-27 02:00:00+00:00,87386.515625,87409.953125,87346.875,87408.015625,0
2025-12-27 03:00:00+00:00,87448.96875,87463.1796875,87332.03125,87389.859375,0
2025-12-27 04:00:00+00:00,87405.90625,87447.90625,87398.3046875,87447.90625,0
2025-12-27 05:00:00+00:00,87451.359375,87451.359375,87387.8125,87412.8203125,0
2025-12-27 06:00:00+00:00,87407.640625,87493.5625,87369.2734375,87448.6328125,0
2025-12-27 07:00:00+00:00,87478.546875,87642.4921875,87416.09375,87425.0234375,0
2025-12-27 08:00:00+00:00,87530.71875,87606.2109375,87488.0703125,87488.0703125,0
2025-12-27 09:00:00+00:00,87565.796875,87604.3671875,87497.1484375,87519.296875,0
2025-12-27 10:00:00+00:00,87456.3046875,87565.4765625,87367.0859375,87560.59375,0
2025-12-27 11:00:00+00:00,87416.84375,87485.0078125,87407.4296875,87449.3203125,0
2025-12-27 12:00:00+00:00,87426.546875,87468.3828125,87400.4375,87451.8359375,0
2025-12-27 13:00:00+00:00,87424.0546875,87434.828125,87294.828125,87425.359375,0
2025-12-27 14:00:00+00:00,87485.0625,87486.171875,87363.5859375,87405.484375,0
2025-12-27 15:00:00+00:00,87516.34375,87545.8046875,87447.3984375,87475.1015625,0
2025-12-27 16:00:00+00:00,87449.171875,87525.015625,87400.0,87492.6640625,0
2025-12-27 17:00:00+00:00,87501.921875,87513.7578125,87446.4375,87451.09375,0
2025-12-27 18:00:00+00:00,87433.75,87504.515625,87409.7109375,87502.015625,0
2025-12-27 19:00:00+00:00,87512.390625,87513.8203125,87438.296875,87438.8515625,0
2025-12-27 20:00:00+00:00,87495.9375,87557.1328125,87479.7890625,87523.9375,0
2025-12-27 21:00:00+00:00,87605.6640625,87609.6875,87495.3515625,87498.109375,0
2025-12-27 22:00:00+00:00,87587.4609375,87830.609375,87480.53125,87605.15625,186419200
2025-12-27 23:00:00+00:00,87805.5625,87863.984375,87509.40625,87509.40625,177369088
2025-12-28 00:00:00+00:00,87781.640625,87857.3125,87657.78125,87806.0546875,15262720
2025-12-28 01:00:00+00:00,87717.453125,87866.5859375,87692.8359375,87786.984375,111571968
2025-12-28 02:00:00+00:00,87748.28125,87805.1015625,87690.1328125,87723.5,0
2025-12-28 03:00:00+00:00,87688.1015625,87762.9140625,87669.8828125,87743.90625,0
2025-12-28 04:00:00+00:00,87661.0078125,87743.640625,87635.578125,87684.0703125,28371968
2025-12-28 05:00:00+00:00,87589.0390625,87655.5546875,87555.765625,87655.5546875,41666560
2025-12-28 06:00:00+00:00,87681.515625,87720.3125,87577.40625,87588.984375,0
2025-12-28 07:00:00+00:00,87665.2734375,87670.8125,87597.859375,87666.84375,0
2025-12-28 08:00:00+00:00,87760.6171875,87881.53125,87657.328125,87657.328125,51259392
2025-12-28 09:00:00+00:00,87730.890625,87832.34375,87690.953125,87733.6015625,0
2025-12-28 10:00:00+00:00,87787.6796875,87881.890625,87733.5234375,87737.75,218498048
2025-12-28 11:00:00+00:00,87789.5546875,87862.765625,87743.9921875,87788.359375,21225472
2025-12-28 12:00:00+00:00,87786.7890625,87813.84375,87749.59375,87813.84375,45235200
2025-12-28 13:00:00+00:00,87833.6640625,87864.09375,87752.4765625,87772.8203125,84672512
2025-12-28 14:00:00+00:00,87865.4140625,87951.984375,87826.2734375,87826.2734375,0
2025-12-28 15:00:00+00:00,87780.0625,87935.75,87780.0625,87848.40625,510532608
2025-12-28 16:00:00+00:00,87750.1171875,87833.5078125,87719.40625,87779.65625,142030848
2025-12-28 17:00:00+00:00,87693.71875,87857.578125,87686.4609375,87749.4453125,0
2025-12-28 18:00:00+00:00,87537.0703125,87695.40625,87482.78125,87693.3828125,526517248
2025-12-28 19:00:00+00:00,87485.578125,87607.9765625,87444.390625,87538.5546875,409132032
2025-12-28 20:00:00+00:00,87477.890625,87579.25,87396.0390625,87476.078125,130200576
2025-12-28 21:00:00+00:00,87500.2265625,87527.0390625,87402.84375,87459.7578125,181508096
2025-12-28 22:00:00+00:00,87843.0078125,87898.421875,87445.984375,87503.65625,0
2025-12-28 23:00:00+00:00,87830.1171875,87844.625,87604.8515625,87831.65625,206987264
2025-12-29 00:00:00+00:00,88226.78125,88234.0,87756.3671875,87858.109375,870933504
2025-12-29 01:00:00+00:00,88314.171875,88380.2578125,87833.65625,88226.6875,947730432
2025-12-29 02:00:00+00:00,89102.625,89236.6171875,88353.5078125,88353.5078125,3253251072
2025-12-29 03:00:00+00:00,90032.4140625,90032.4140625,89026.6328125,89086.8125,3074658304
2025-12-29 04:00:00+00:00,90100.4140625,90269.015625,89903.0703125,90012.6328125,2378932224
2025-12-29 05:00:00+00:00,89927.6875,90194.328125,89873.2578125,90070.7578125,1425721344
2025-12-29 06:00:00+00:00,89672.9609375,90028.6171875,89666.796875,89908.9921875,1104549888
2025-12-29 07:00:00+00:00,89518.6171875,89708.859375,89415.9765625,89672.7109375,1356230656
2025-12-29 08:00:00+00:00,89451.8984375,89694.109375,89399.90625,89505.28125,1522210816
2025-12-29 09:00:00+00:00,87940.6015625,89489.328125,87795.0078125,89438.515625,3895531520
2025-12-29 10:00:00+00:00,87678.9453125,88137.9609375,87602.5078125,87981.0859375,814858240
2025-12-29 11:00:00+00:00,87508.1796875,87686.4296875,87485.3203125,87620.4375,887361536
2025-12-29 12:00:00+00:00,87242.8046875,87508.265625,86760.265625,87485.1015625,3058946048
2025-12-29 13:00:00+00:00,87222.25,87416.3515625,87125.609375,87252.3203125,0
2025-12-29 14:00:00+00:00,87322.015625,88007.96875,87176.984375,87255.890625,2892251136
2025-12-29 15:00:00+00:00,87636.625,87760.9296875,87196.8359375,87288.6015625,2911100928
